title,price,drivetrain,exterior_color,model,year,trim,fuel_consume(L/100km),region,province,battery_charge_time(hr),battery_range(km),body_type,mileage(km),front_legroom(mm),cargo_volume(L)
2019 Tesla Model 3 Standard Plus RWD,30742,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Standard Plus RWD,1.9,Chilliwack,BC,10.0,386.0,Sedan,52596,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,23997,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Vaudreuil-Dorion,QC,10.0,402.0,Sedan,110021,1085.0,424.0
2020 Tesla Model X Long Range AWD,65995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2020.0,Long Range AWD,2.445,Chilliwack,BC,12.0,528.0,SUV/ Crossover,97275,1046.0,543.0
2020 Tesla Model Y Long Range AWD,36999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Long Range AWD,1.99,Oakville,ON,10.0,509.0,SUV/ Crossover,100461,1062.0,1925.0
2019 Tesla Model 3 Long Range AWD,23995,All-Wheel Drive,Black,Model 3,2019.0,Long Range AWD,2.045,Mirabel,QC,10.0,499.0,Sedan,155970,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,31995,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2021.0,Standard Range Plus RWD,1.9,Gatineau,QC,10.0,430.0,Sedan,61978,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,27800,Rear-Wheel Drive,Black,Model 3,2020.0,Standard Range Plus RWD,1.9,Mississauga,ON,10.0,402.0,Sedan,76290,1085.0,424.0
2022 Tesla Model Y Long Range AWD,41800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Long Range AWD,1.945,Concord,ON,10.0,531.0,SUV/ Crossover,84388,1062.0,971.0
2024 Tesla Model Y Long Range AWD,56900,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2024.0,Long Range AWD,1.99,Concord,ON,9.0,499.0,SUV/ Crossover,22800,1062.0,971.0
2021 Tesla Model 3 Long Range AWD,34800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Long Range AWD,1.9,Concord,ON,10.0,568.0,Sedan,73668,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,27988,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,Oakville,ON,10.0,430.0,Sedan,85000,1085.0,424.0
2019 Tesla Model 3 Performance AWD,30886,All-Wheel Drive,Black,Model 3,2019.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,61000,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,27880,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,120800,1085.0,424.0
2023 Tesla Model 3 RWD,34990,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,42700,1085.0,648.0
2019 Tesla Model 3 Standard Plus RWD,25498,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Vaughan,ON,10.0,386.0,Sedan,84173,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,26480,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,68500,1085.0,424.0
2023 Tesla Model 3 RWD,37500,Rear-Wheel Drive,Red,Model 3,2023.0,RWD,1.9,Richmond Hill,ON,10.4,438.0,Sedan,39390,1085.0,648.0
2019 Tesla Model 3 Standard Plus RWD,19900,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Standard Plus RWD,1.9,Concord,ON,10.0,386.0,Sedan,175400,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,25889,Rear-Wheel Drive,Black,Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,113688,1085.0,424.0
2018 Tesla Model 3 Performance AWD,22995,All-Wheel Drive,Red,Model 3,2018.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,143866,1085.0,424.0
2022 Tesla Model Y Performance AWD,48999,All-Wheel Drive,Black,Model Y,2022.0,Performance AWD,1.945,Saint-Jean-sur-Richelieu,QC,10.0,488.0,SUV/ Crossover,58175,1062.0,971.0
2020 Tesla Model 3 Standard Range Plus RWD,32891,Rear-Wheel Drive,Black,Model 3,2020.0,Standard Range Plus RWD,1.9,Penticton,BC,10.0,402.0,Sedan,59326,1085.0,424.0
2023 Tesla Model X AWD,97700,All-Wheel Drive,Black,Model X,2023.0,AWD,2.29,Vancouver,BC,14.0,560.0,SUV/ Crossover,44000,1044.0,1231.0
2019 Tesla Model 3 Long Range AWD,31800,All-Wheel Drive,Black,Model 3,2019.0,Long Range AWD,2.045,Toronto,ON,10.0,499.0,Sedan,65000,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,25993,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Magog,QC,10.0,430.0,Sedan,109498,1085.0,424.0
2023 Tesla Model X,99995,unknown,White(/Pearl White Multi-Coat),Model X,2023.0,unknown,2.555,Richmond,BC,12.0,475.0,SUV/ Crossover,37848,1046.0,736.0
2022 Tesla Model 3 RWD,32498,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,RWD,1.9,St-leonard,QC,10.0,430.0,Sedan,40746,1085.0,648.0
2022 Tesla Model 3 RWD,32999,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,RWD,1.9,L'Île-Perrot,QC,10.0,430.0,Sedan,41470,1085.0,648.0
2023 Tesla Model 3 Performance AWD,63850,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2023.0,Performance AWD,1.9,Langley,BC,10.0,507.0,Sedan,9045,1085.0,648.0
2021 Tesla Model Y Long Range AWD,48148,All-Wheel Drive,Black,Model Y,2021.0,Long Range AWD,1.945,Sidney,BC,10.0,509.0,SUV/ Crossover,48600,1062.0,1925.0
2018 Tesla Model 3 Long Range AWD,27050,All-Wheel Drive,Silver,Model 3,2018.0,Long Range AWD,2.045,Richmond Hill,ON,10.0,499.0,Sedan,111975,1085.0,424.0
2024 Tesla Model Y Performance AWD,65775,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2024.0,Performance AWD,1.945,Brossard,QC,9.8,449.0,SUV/ Crossover,16051,1062.0,971.0
2021 Tesla Model 3 Standard Range Plus RWD,32512,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Abbotsford,BC,10.0,430.0,Sedan,71862,1085.0,424.0
2023 Tesla Model 3 RWD,37888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Coquitlam,BC,10.4,438.0,Sedan,49518,1085.0,648.0
2023 Tesla Model 3 RWD,34510,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Richmond Hill,ON,10.4,438.0,Sedan,48102,1085.0,648.0
2022 Tesla Model 3 Performance AWD,52995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,Performance AWD,1.9,Lethbridge,AB,10.0,507.0,Sedan,25926,1085.0,648.0
2022 Tesla Model 3 Long Range AWD,41995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,Long Range AWD,1.9,Richmond,BC,10.0,538.0,Sedan,73000,1085.0,648.0
2023 Tesla Model Y Performance AWD,51995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2023.0,Performance AWD,2.09,Kitchener,ON,11.8,488.0,SUV/ Crossover,64472,1062.0,481.0
2021 Tesla Model 3 Long Range AWD,34800,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Long Range AWD,1.9,Concord,ON,10.0,568.0,Sedan,75866,1085.0,424.0
2021 Tesla Model Y Long Range AWD,44995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,North Vancouver,BC,10.0,509.0,SUV/ Crossover,70080,1062.0,1925.0
2022 Tesla Model Y Performance AWD,48998,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Performance AWD,1.945,Saint-Jean-sur-Richelieu,QC,10.0,488.0,SUV/ Crossover,58799,1062.0,971.0
2018 Tesla Model 3 Long Range AWD,28888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2018.0,Long Range AWD,2.045,Nobleton,ON,10.0,499.0,Sedan,68029,1085.0,424.0
2019 Tesla Model 3 Standard RWD,30500,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Standard RWD,1.9,Vancouver,BC,10.0,354.0,Sedan,67490,1085.0,424.0
2017 Tesla Model X 75D AWD,41495,All-Wheel Drive,Black,Model X,2017.0,75D AWD,2.555,Richmond,BC,12.0,383.0,SUV/ Crossover,88148,1046.0,736.0
2022 Tesla Model 3 Long Range AWD,39999,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Longueuil,QC,10.0,538.0,Sedan,41126,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,33996,Rear-Wheel Drive,Red,Model 3,2020.0,Standard Range Plus RWD,1.9,Abbotsford,BC,10.0,402.0,Sedan,45057,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,24880,All-Wheel Drive,Red,Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,84900,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,29985,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2020.0,Standard Range Plus RWD,1.9,Brossard,QC,10.0,402.0,Sedan,41233,1085.0,424.0
2019 Tesla Model 3 Performance AWD,22880,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Performance AWD,2.045,Concord,ON,10.0,499.0,Sedan,164000,1085.0,424.0
2018 Tesla Model 3 Long Range AWD,29450,All-Wheel Drive,Black,Model 3,2018.0,Long Range AWD,2.045,Richmond Hill,ON,10.0,499.0,Sedan,71685,1085.0,424.0
2022 Tesla Model 3 RWD,35995,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,RWD,1.9,Kitchener,ON,10.0,430.0,Sedan,16959,1085.0,648.0
2020 Tesla Model 3 Standard Range AWD,23990,All-Wheel Drive,Black,Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,99400,1085.0,424.0
2018 Tesla Model 3 Long Range AWD,20989,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2018.0,Long Range AWD,2.045,Cambridge,ON,10.0,499.0,Sedan,203750,1085.0,424.0
2021 Tesla Model Y Long Range AWD,45995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Abbotsford,BC,10.0,509.0,SUV/ Crossover,68000,1062.0,1925.0
2018 Tesla Model 3 Long Range RWD,27888,Rear-Wheel Drive,Silver,Model 3,2018.0,Long Range RWD,1.9,Richmond,BC,12.0,499.0,Sedan,148000,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,34888,Rear-Wheel Drive,Red,Model 3,2021.0,Standard Range Plus RWD,1.9,Maple Ridge,BC,10.0,430.0,Sedan,47000,1085.0,424.0
2019 Tesla Model 3 Performance AWD,29888,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2019.0,Performance AWD,2.045,Montreal,QC,10.0,499.0,Sedan,66150,1085.0,424.0
2016 Tesla Model S 90D AWD,38495,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2016.0,90D AWD,2.255,Caledon,ON,12.0,473.0,Sedan,91500,1085.0,894.0
2018 Tesla Model 3 Standard RWD,23800,Rear-Wheel Drive,Red,Model 3,2018.0,Standard RWD,1.945,Concord,ON,12.0,354.0,Sedan,110406,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,29998,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range Plus RWD,1.9,Carignan,QC,10.0,402.0,Sedan,33997,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,25490,All-Wheel Drive,Black,Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,75400,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,30995,Rear-Wheel Drive,Red,Model 3,2021.0,Standard Range Plus RWD,1.9,Saint-jerome,QC,10.0,430.0,Sedan,41197,1085.0,424.0
2022 Tesla Model Y Long Range AWD,48289,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Long Range AWD,1.945,Drummondville,QC,10.0,531.0,SUV/ Crossover,53000,1062.0,971.0
2021 Tesla Model X Long Range Plus AWD,64977,All-Wheel Drive,Red,Model X,2021.0,Long Range Plus AWD,2.245,Drummondville,QC,12.0,565.0,SUV/ Crossover,98934,1046.0,543.0
2020 Tesla Model 3 Standard Range AWD,23800,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,102900,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,24995,Rear-Wheel Drive,Black,Model 3,2020.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,402.0,Sedan,115100,1085.0,424.0
2021 Tesla Model Y Long Range AWD,48950,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Sidney,BC,10.0,509.0,SUV/ Crossover,43000,1062.0,1925.0
2022 Tesla Model 3 Long Range AWD,32995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,Long Range AWD,1.9,Toronto,ON,10.0,538.0,Sedan,109500,1085.0,648.0
2017 Tesla Model S 75D AWD,31880,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2017.0,75D AWD,2.3,Toronto,ON,12.0,417.0,Sedan,116776,1085.0,894.0
2020 Tesla Model 3 Standard Range AWD,25490,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,75688,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,32500,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,Long Range AWD,1.9,Concord,ON,10.0,538.0,Sedan,115899,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,33999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Nanaimo,BC,10.0,402.0,Sedan,56660,1085.0,424.0
2021 Tesla Model Y Long Range AWD,33995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2021.0,Long Range AWD,1.945,Concord,ON,10.0,509.0,SUV/ Crossover,142600,1062.0,1925.0
2014 Tesla Model S P85 RWD,18888,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model S,2014.0,P85 RWD,2.655,Mississauga,ON,12.0,407.0,Sedan,244075,1085.0,894.0
2020 Tesla Model 3 Standard Range Plus RWD,28800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Mississauga,ON,10.0,402.0,Sedan,68169,1085.0,424.0
2020 Tesla Model 3 Standard Range AWD,24995,All-Wheel Drive,Black,Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,95000,1085.0,424.0
2017 Tesla Model S 100D AWD,29995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model S,2017.0,100D AWD,2.3,London,ON,12.0,539.0,Sedan,230653,1085.0,804.0
2019 Tesla Model 3 Standard Plus RWD,24888,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2019.0,Standard Plus RWD,1.9,Oakville,ON,10.0,386.0,Sedan,101000,1085.0,424.0
2016 Tesla Model X 75D AWD,41800,All-Wheel Drive,Blue(/Deep Blue Metallic),Model X,2016.0,75D AWD,2.555,Richmond,BC,12.0,383.0,SUV/ Crossover,81000,1046.0,736.0
2019 Tesla Model 3 Standard Plus RWD,23500,Rear-Wheel Drive,Black,Model 3,2019.0,Standard Plus RWD,1.9,Richmond,BC,10.0,386.0,Sedan,145000,1085.0,424.0
2022 Tesla Model 3 RWD,27992,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2022.0,RWD,1.9,Oakville,ON,10.0,430.0,Sedan,101800,1085.0,648.0
2022 Tesla Model Y Performance AWD,46995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Performance AWD,2.09,Mississauga,ON,10.0,488.0,SUV/ Crossover,72466,1062.0,971.0
2018 Tesla Model X 100D AWD,51995,All-Wheel Drive,Black,Model X,2018.0,100D AWD,2.655,Laval,QC,12.0,475.0,SUV/ Crossover,93759,1046.0,736.0
2021 Tesla Model Y Long Range AWD,39800,All-Wheel Drive,Black,Model Y,2021.0,Long Range AWD,1.945,Toronto,ON,10.0,509.0,SUV/ Crossover,85000,1062.0,1925.0
2017 Tesla Model S P100D AWD,58000,All-Wheel Drive,Blue(/Deep Blue Metallic),Model S,2017.0,P100D AWD,2.42,Coquitlam,BC,12.0,507.0,Sedan,78000,1085.0,894.0
2020 Tesla Model 3 Standard Range Plus RWD,26995,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2020.0,Performance AWD,1.945,Lévis,QC,10.0,507.0,SUV/ Crossover,74450,1062.0,1925.0
2023 Tesla Model Y Long Range AWD,45995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2023.0,Long Range AWD,1.945,Toronto,ON,11.5,531.0,SUV/ Crossover,57073,1062.0,971.0
2019 Tesla Model 3 Standard Plus RWD,27888,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Surrey,BC,10.0,386.0,Sedan,97854,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,33999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Nanaimo,BC,10.0,430.0,Sedan,63401,1085.0,424.0
2023 Tesla Model Y Performance AWD,48495,All-Wheel Drive,Black,Model Y,2023.0,Performance AWD,2.09,Cowansville,QC,11.8,488.0,SUV/ Crossover,86662,1062.0,481.0
2022 Tesla Model 3 RWD,34800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Kitchener,ON,10.0,430.0,Sedan,34505,1085.0,648.0
2021 Tesla Model 3 Performance AWD,41499,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2021.0,Performance AWD,2.09,Longueuil,QC,10.0,507.0,Sedan,47131,1085.0,424.0
2021 Tesla Model Y Standard Range RWD,47954,Rear-Wheel Drive,Black,Model Y,2021.0,Standard Range RWD,1.945,Langley,BC,10.0,393.0,SUV/ Crossover,20922,1062.0,1925.0
2020 Tesla Model 3 Standard Range Plus RWD,29995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,402.0,Sedan,47000,1085.0,424.0
2022 Tesla Model S Plaid AWD,90900,All-Wheel Drive,Black,Model S,2022.0,Plaid AWD,2.045,Whitby,ON,15.0,637.0,Sedan,48885,1077.0,798.0
2021 Tesla Model 3 Standard Range Plus RWD,29880,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Concord,ON,10.0,430.0,Sedan,66000,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,27999,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,402.0,Sedan,114000,1085.0,424.0
2020 Tesla Model 3 Long Range AWD,32490,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Long Range AWD,1.945,Concord,ON,10.0,518.0,Sedan,70800,1085.0,424.0
2021 Tesla Model 3 Standard Range Plus RWD,33900,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Surrey,BC,10.0,430.0,Sedan,65350,1085.0,424.0
2020 Tesla Model Y Long Range AWD,41989,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2020.0,Long Range AWD,1.99,North Vancouver,BC,10.0,509.0,SUV/ Crossover,90994,1062.0,1925.0
2022 Tesla Model 3 Long Range AWD,36900,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,Long Range AWD,1.9,Guelph,ON,10.0,538.0,Sedan,75894,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,28800,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Richmond,BC,10.0,402.0,Sedan,99000,1085.0,424.0
2022 Tesla Model Y Performance AWD,49995,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2022.0,Performance AWD,2.09,Mississauga,ON,10.0,488.0,SUV/ Crossover,57373,1062.0,971.0
2023 Tesla Model Y Long Range AWD,55527,All-Wheel Drive,Black,Model Y,2023.0,Long Range AWD,1.945,Vancouver,BC,11.5,531.0,SUV/ Crossover,20827,1062.0,971.0
2021 Tesla Model Y Performance AWD,50857,All-Wheel Drive,Black,Model Y,2021.0,Performance AWD,2.09,Vancouver,BC,10.0,507.0,SUV/ Crossover,62083,1062.0,1925.0
2022 Tesla Model 3 RWD,33989,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2022.0,RWD,1.9,Saint-Basile-Le-Grand,QC,10.0,430.0,Sedan,32682,1085.0,648.0
2020 Tesla Model 3 Standard Range Plus RWD,29986,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range Plus RWD,1.9,Abbotsford,BC,10.0,402.0,Sedan,95423,1085.0,424.0
2022 Tesla Model 3 RWD,36684,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Vancouver,BC,10.0,430.0,Sedan,55100,1085.0,648.0
2019 Tesla Model 3 Standard Plus RWD,26388,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Standard Plus RWD,1.9,Mississauga,ON,10.0,386.0,Sedan,77075,1085.0,424.0
2022 Tesla Model 3 Long Range AWD,38888,All-Wheel Drive,Black,Model 3,2022.0,Long Range AWD,1.9,Mississauga,ON,10.0,538.0,Sedan,57000,1085.0,648.0
2022 Tesla Model Y Performance AWD,46999,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2022.0,Performance AWD,2.09,Saint-Constant,QC,10.0,488.0,SUV/ Crossover,70563,1062.0,971.0
2020 Tesla Model Y Long Range AWD,39995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2020.0,Long Range AWD,1.99,Toronto,ON,10.0,509.0,SUV/ Crossover,69000,1062.0,1925.0
2021 Tesla Model 3 Standard Range Plus RWD,28500,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2021.0,Standard Range Plus RWD,1.9,Toronto,ON,10.0,430.0,Sedan,78085,1085.0,424.0
2020 Tesla Model 3 Standard Range Plus RWD,28698,Rear-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model 3,2020.0,Standard Range Plus RWD,1.9,Vaudreuil-Dorion,QC,10.0,402.0,Sedan,55850,1085.0,424.0
2022 Tesla Model X AWD,91473,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2022.0,AWD,2.555,Windsor,ON,12.0,534.0,SUV/ Crossover,16100,1044.0,1231.0
2021 Tesla Model Y Performance AWD,46898,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Performance AWD,1.945,Vaughan,ON,10.0,507.0,SUV/ Crossover,71283,1062.0,1925.0
2017 Tesla Model X 90D AWD,47995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model X,2017.0,90D AWD,2.555,Laval,QC,12.0,414.0,SUV/ Crossover,68920,1046.0,736.0
2021 Tesla Model Y Long Range AWD,38998,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2021.0,Long Range AWD,1.945,Scarborough,ON,10.0,509.0,SUV/ Crossover,101368,1062.0,1925.0
2021 Tesla Model 3 Standard Range Plus RWD,28999,Rear-Wheel Drive,Blue(/Deep Blue Metallic),Model 3,2021.0,Standard Range Plus RWD,1.9,Sarnia,ON,10.0,430.0,Sedan,82645,1085.0,424.0
2024 Tesla Model Y Long Range AWD,56990,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2024.0,Long Range AWD,1.99,Etobicoke,ON,9.0,499.0,SUV/ Crossover,20827,1062.0,971.0
2022 Tesla Model 3 RWD,34800,Rear-Wheel Drive,Black,Model 3,2022.0,RWD,1.9,Kitchener,ON,10.0,430.0,Sedan,36966,1085.0,648.0
2019 Tesla Model 3 Long Range AWD,32999,All-Wheel Drive,Black,Model 3,2019.0,Long Range AWD,2.045,Richmond,BC,10.0,499.0,Sedan,98637,1085.0,424.0
2022 Tesla Model Y Performance AWD,38990,All-Wheel Drive,White(/Pearl White Multi-Coat),Model Y,2022.0,Performance AWD,2.09,Concord,ON,10.0,488.0,SUV/ Crossover,131800,1062.0,971.0
2018 Tesla Model 3 Long Range RWD,29950,Rear-Wheel Drive,Silver,Model 3,2018.0,Long Range RWD,1.9,Toronto,ON,12.0,499.0,Sedan,29274,1085.0,424.0
2022 Tesla Model 3 RWD,36995,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2022.0,RWD,1.9,Abbotsford,BC,10.0,430.0,Sedan,51000,1085.0,648.0
2020 Tesla Model 3 Standard Range AWD,26490,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2020.0,Standard Range AWD,1.9,Concord,ON,10.0,354.0,Sedan,72700,1085.0,424.0
2023 Tesla Model 3 RWD,37990,Rear-Wheel Drive,Black,Model 3,2023.0,RWD,1.9,Etobicoke,ON,10.4,438.0,Sedan,14319,1085.0,648.0
2021 Tesla Model Y Long Range AWD,48970,All-Wheel Drive,Blue(/Deep Blue Metallic),Model Y,2021.0,Long Range AWD,1.945,Burnaby,BC,10.0,509.0,SUV/ Crossover,46432,1062.0,1925.0
2019 Tesla Model 3 Performance AWD,29995,All-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2019.0,Performance AWD,2.045,Coaticook,QC,10.0,499.0,Sedan,85345,1085.0,424.0
2023 Tesla Model 3 RWD,30850,Rear-Wheel Drive,White(/Pearl White Multi-Coat),Model 3,2023.0,RWD,1.9,Concord,ON,10.4,438.0,Sedan,114500,1085.0,648.0
2023 Tesla Model Y Long Range AWD,49870,All-Wheel Drive,Gray(/Dark Grey/Stealth Grey/Charcoal),Model Y,2023.0,Long Range AWD,1.945,Blainville,QC,11.5,531.0,SUV/ Crossover,45189,1062.0,971.0
2018 Tesla Model X 75D AWD,54995,All-Wheel Drive,Black,Model X,2018.0,75D AWD,2.555,Regina,SK,12.0,381.0,SUV/ Crossover,75000,1046.0,736.0
